2018-10-11 10:22:11.09 - User: test Logged in
2018-10-11 10:23:46.246 - User: {test} failed login
2018-10-11 10:24:41.154 - User: {test} failed login
2018-10-11 10:24:56.976 - User: {testman} failed login
2018-10-11 10:25:03.046 - User: {test} successful login
2018-10-11 10:28:16.938 - User: {test} successful login
2018-10-11 10:29:30.849 - User: {test} successful login
2018-10-11 10:31:38.434 - User: {test} successful login
2018-10-11 10:45:03.664 - User: {test} successful login
2018-10-11 10:45:41.003 - User: {test} successful login
2018-10-11 10:49:10.995 - User: {test} successful login
2018-10-11 10:49:37.131 - User: {test} successful login
2018-10-11 10:50:09.355 - User: {test} successful login
2018-10-11 10:51:20.8 - User: {test} successful login
2018-10-11 10:51:58.441 - User: {test} successful login
2018-10-11 10:53:24.145 - User: {test} successful login
2018-10-11 11:03:19.16 - User: {test} successful login
2018-10-11 11:03:41.372 - User: {test} successful login
2018-10-11 11:04:23.564 - User: {test} successful login
2018-10-11 11:06:01.531 - User: {test} successful login
2018-10-11 20:20:11.943 - User: {test} successful login
2018-10-16 19:33:58.503 - User: {test} successful login
2018-10-16 19:45:37.653 - User: {test} successful login
2018-10-16 19:46:50.718 - User: {test} successful login
